compound,neg,neu,pos
0.9803,0.061,0.742,0.197
0.9898,0.019,0.735,0.245
0.9946,0.055,0.647,0.298
0.995,0.046,0.588,0.366
0.9842,0.085,0.59,0.325
0.9892,0.137,0.565,0.298
0.9922,0.0,0.732,0.268
0.9959,0.024,0.689,0.287
0.9169,0.022,0.822,0.156
0.1603,0.047,0.893,0.06
0.9952,0.056,0.544,0.4
0.9788,0.015,0.741,0.243
0.9753,0.07,0.63,0.3
0.9877,0.02,0.714,0.266
0.9893,0.061,0.634,0.305
0.9819,0.012,0.808,0.18
0.9977,0.028,0.655,0.317
0.9938,0.012,0.654,0.334
0.9843,0.0,0.737,0.263
0.8934,0.039,0.793,0.167
0.9952,0.046,0.633,0.322
0.9753,0.0,0.724,0.276
0.9885,0.035,0.633,0.332
0.9888,0.045,0.639,0.316
0.9927,0.038,0.571,0.391
0.9937,0.029,0.702,0.268
0.9787,0.087,0.639,0.274
0.9325,0.076,0.766,0.158
0.9837,0.015,0.754,0.23
0.9029,0.075,0.733,0.192
0.9832,0.074,0.645,0.281
0.987,0.097,0.611,0.292
0.9842,0.008,0.766,0.225
0.9538,0.04,0.706,0.253
0.9953,0.052,0.624,0.325
0.9579,0.136,0.615,0.25
0.9878,0.025,0.777,0.198
0.9643,0.043,0.721,0.236
0.9952,0.0,0.587,0.413
0.9616,0.025,0.856,0.12
0.9959,0.009,0.563,0.428
0.9966,0.0,0.587,0.413
0.9961,0.0,0.611,0.389
0.9968,0.052,0.638,0.309
0.977,0.099,0.609,0.292
0.4738,0.15,0.672,0.178
0.9943,0.021,0.562,0.418
0.9853,0.048,0.713,0.239
0.9898,0.046,0.625,0.329
0.9726,0.031,0.772,0.197
0.9976,0.033,0.566,0.401
0.9876,0.034,0.731,0.236
0.9584,0.065,0.772,0.163
0.836,0.052,0.796,0.151
0.8839,0.081,0.747,0.173
0.9918,0.08,0.591,0.329
0.9716,0.012,0.809,0.179
0.9928,0.028,0.595,0.376
0.9517,0.028,0.782,0.19
0.9958,0.061,0.645,0.295
0.9796,0.114,0.644,0.242
0.9921,0.062,0.665,0.273
0.9753,0.031,0.772,0.197
0.9961,0.021,0.574,0.404
0.9864,0.0,0.712,0.288
0.9554,0.105,0.657,0.238
0.9828,0.0,0.79,0.21
0.9948,0.042,0.657,0.301
0.997,0.034,0.64,0.327
0.9792,0.017,0.741,0.243
0.9866,0.0,0.848,0.152
0.9879,0.0,0.706,0.294
0.9965,0.029,0.667,0.304
0.9559,0.044,0.773,0.184
0.9485,0.073,0.704,0.223
0.9968,0.054,0.588,0.358
0.9493,0.163,0.564,0.273
0.9753,0.064,0.756,0.18
0.9925,0.019,0.754,0.227
0.9939,0.02,0.652,0.328
0.9339,0.108,0.704,0.189
0.9961,0.02,0.68,0.3
0.9926,0.076,0.576,0.348
0.9972,0.059,0.626,0.315
0.9946,0.031,0.619,0.35
0.9888,0.047,0.746,0.207
0.9831,0.0,0.811,0.189
0.9601,0.0,0.798,0.202
0.9985,0.04,0.545,0.414
0.9133,0.04,0.828,0.132
0.9956,0.016,0.671,0.313
0.9733,0.049,0.728,0.223
0.9901,0.043,0.665,0.292
0.8803,0.056,0.789,0.156
0.985,0.019,0.781,0.2
0.9957,0.042,0.624,0.334
0.9953,0.034,0.66,0.306
0.9031,0.025,0.825,0.15
0.9535,0.025,0.849,0.127
0.9798,0.0,0.748,0.252
0.9664,0.134,0.618,0.247
0.99,0.086,0.609,0.305
0.9928,0.0,0.719,0.281
0.765,0.128,0.709,0.163
0.9838,0.02,0.799,0.181
0.9899,0.022,0.691,0.287
0.9774,0.0,0.765,0.235
0.9716,0.065,0.672,0.263
0.9964,0.021,0.598,0.38
0.9628,0.042,0.729,0.229
0.9855,0.103,0.672,0.225
0.9974,0.023,0.523,0.454
0.9977,0.0,0.528,0.472
-0.127,0.144,0.723,0.134
0.9948,0.042,0.581,0.377
0.9971,0.012,0.649,0.339
0.9974,0.019,0.68,0.301
0.9919,0.015,0.568,0.417
0.9905,0.078,0.596,0.327
0.9912,0.099,0.561,0.34
0.9825,0.098,0.608,0.294
0.9955,0.013,0.67,0.317
0.9967,0.008,0.57,0.422
0.9571,0.068,0.72,0.212
0.9915,0.045,0.651,0.304
0.9939,0.013,0.737,0.25
0.9856,0.022,0.779,0.199
0.9889,0.014,0.704,0.282
0.9983,0.053,0.551,0.396
0.9825,0.08,0.678,0.242
0.8565,0.108,0.703,0.188
0.995,0.05,0.635,0.315
0.9973,0.03,0.614,0.356
0.9895,0.062,0.697,0.242
0.9971,0.022,0.532,0.446
0.9902,0.058,0.627,0.316
0.959,0.057,0.698,0.245
0.9433,0.141,0.632,0.228
0.9611,0.072,0.728,0.2
0.9239,0.132,0.621,0.247
0.9716,0.015,0.793,0.192
0.9803,0.015,0.793,0.192
0.9816,0.012,0.764,0.224
0.9866,0.057,0.748,0.195
0.9966,0.021,0.67,0.309
0.9785,0.012,0.783,0.205
0.8413,0.124,0.686,0.19
0.9954,0.032,0.57,0.398
0.9952,0.073,0.623,0.304
0.9866,0.025,0.731,0.243
0.9937,0.053,0.646,0.301
0.962,0.063,0.712,0.225
0.9968,0.012,0.571,0.417
0.9895,0.009,0.664,0.327
0.9974,0.034,0.607,0.359
0.9961,0.066,0.575,0.358
0.9969,0.023,0.639,0.339
0.9823,0.112,0.638,0.251
0.9874,0.024,0.703,0.274
0.9825,0.035,0.793,0.172
0.9781,0.026,0.712,0.262
0.9982,0.03,0.562,0.408
0.9929,0.053,0.59,0.356
0.9985,0.036,0.556,0.408
0.9931,0.008,0.698,0.294
0.9938,0.036,0.703,0.26
0.9909,0.057,0.708,0.236
0.9954,0.0,0.713,0.287
0.9837,0.127,0.551,0.322
0.9879,0.06,0.725,0.214
0.9801,0.021,0.667,0.313
0.994,0.067,0.65,0.283
0.9925,0.049,0.621,0.33
0.9645,0.058,0.757,0.185
0.9935,0.025,0.677,0.299
0.9922,0.0,0.632,0.368
0.9645,0.058,0.757,0.185
0.5267,0.113,0.705,0.182
0.9941,0.046,0.72,0.233
0.9779,0.041,0.758,0.2
0.8901,0.034,0.799,0.168
0.9925,0.066,0.718,0.216
0.9659,0.021,0.813,0.166
0.9933,0.045,0.608,0.347
0.9925,0.045,0.585,0.37
0.5812,0.147,0.662,0.191
0.9948,0.019,0.725,0.255
0.8999,0.015,0.876,0.109
0.9884,0.097,0.58,0.324
0.9954,0.053,0.647,0.299
0.9814,0.047,0.788,0.165
0.9939,0.033,0.681,0.286
0.9961,0.011,0.505,0.485
0.9934,0.015,0.549,0.437
0.9915,0.0,0.786,0.214
0.9895,0.074,0.601,0.325
0.9512,0.075,0.733,0.192
0.9843,0.015,0.73,0.255
0.9948,0.054,0.623,0.324
0.9231,0.052,0.776,0.172
0.9945,0.039,0.648,0.313
0.8456,0.062,0.809,0.128
0.9949,0.019,0.7,0.281
0.9494,0.13,0.628,0.242
0.9906,0.044,0.69,0.266
0.9791,0.12,0.628,0.253
0.9917,0.028,0.719,0.253
0.9442,0.084,0.754,0.162
0.996,0.024,0.615,0.361
0.9827,0.021,0.806,0.173
0.9902,0.051,0.669,0.28
0.9858,0.009,0.733,0.259
0.9578,0.127,0.607,0.266
0.9879,0.042,0.731,0.227
0.9423,0.076,0.725,0.2
0.9871,0.049,0.707,0.243
0.969,0.043,0.76,0.197
-0.4434,0.156,0.699,0.145
0.9839,0.013,0.793,0.195
0.8264,0.128,0.647,0.225
-0.8225,0.191,0.677,0.132
0.9873,0.0,0.738,0.262
0.9918,0.013,0.726,0.262
0.9858,0.03,0.748,0.222
0.9955,0.028,0.594,0.378
0.9955,0.01,0.702,0.288
0.9931,0.057,0.641,0.302
0.9652,0.038,0.754,0.208
0.9922,0.039,0.655,0.306
0.9927,0.016,0.676,0.308
0.9968,0.048,0.552,0.4
0.9766,0.048,0.673,0.279
0.9908,0.0,0.711,0.289
0.9976,0.019,0.53,0.451
0.9847,0.055,0.725,0.22
0.9738,0.105,0.694,0.201
0.9943,0.044,0.676,0.279
0.9728,0.164,0.543,0.293
0.8225,0.108,0.737,0.155
0.9964,0.069,0.439,0.492
0.9708,0.072,0.737,0.191
0.97,0.074,0.691,0.236
0.9806,0.031,0.782,0.188
0.743,0.073,0.826,0.101
0.9798,0.044,0.745,0.212
0.9899,0.035,0.599,0.366
0.9791,0.066,0.636,0.298
0.9056,0.099,0.737,0.164
0.951,0.046,0.809,0.145
0.9855,0.018,0.766,0.216
0.7986,0.193,0.574,0.233
0.9951,0.057,0.617,0.326
0.9955,0.056,0.646,0.299
0.9948,0.0,0.562,0.438
0.9753,0.024,0.826,0.15
0.9951,0.01,0.751,0.239
0.1027,0.142,0.702,0.156
0.9916,0.028,0.762,0.21
0.9944,0.016,0.566,0.418
0.9826,0.03,0.761,0.208
0.9926,0.0,0.651,0.349
0.9438,0.056,0.784,0.16
0.9953,0.019,0.701,0.28
0.9876,0.037,0.712,0.251
0.8121,0.073,0.755,0.172
0.9962,0.014,0.546,0.44
0.9136,0.056,0.756,0.188
0.9726,0.022,0.709,0.269
0.9884,0.023,0.632,0.345
0.9826,0.025,0.716,0.26
0.9964,0.0,0.667,0.333
0.9783,0.0,0.773,0.227
0.9902,0.023,0.697,0.279
0.9731,0.101,0.659,0.24
0.998,0.023,0.521,0.457
0.9628,0.047,0.755,0.198
0.982,0.01,0.756,0.234
0.9699,0.05,0.706,0.244
0.9938,0.026,0.65,0.324
0.9337,0.021,0.776,0.202
0.9849,0.05,0.76,0.19
0.9967,0.015,0.714,0.27
0.9246,0.015,0.876,0.109
0.9954,0.069,0.614,0.317
0.9918,0.024,0.692,0.284
0.9897,0.027,0.614,0.358
0.9883,0.06,0.609,0.331
0.9451,0.015,0.802,0.183
0.9879,0.063,0.626,0.311
0.9686,0.053,0.771,0.175
0.9217,0.028,0.847,0.125
0.9956,0.047,0.664,0.289
0.9977,0.035,0.615,0.349
0.9933,0.045,0.651,0.304
0.9895,0.059,0.69,0.251
0.9781,0.027,0.719,0.254
0.9956,0.0,0.69,0.31
0.9977,0.034,0.635,0.33
0.9963,0.019,0.713,0.268
0.9975,0.024,0.676,0.3
0.9957,0.0,0.589,0.411
0.9759,0.105,0.66,0.235
0.7216,0.144,0.676,0.18
0.9875,0.052,0.64,0.308
0.9896,0.036,0.74,0.224
0.9914,0.041,0.673,0.286
0.978,0.035,0.733,0.232
0.9926,0.0,0.709,0.291
0.9939,0.019,0.644,0.337
0.9667,0.047,0.745,0.207
0.9818,0.036,0.719,0.245
0.9928,0.032,0.617,0.351
0.9964,0.084,0.573,0.343
0.9853,0.04,0.779,0.182
0.9967,0.052,0.648,0.3
0.9853,0.038,0.742,0.219
0.9964,0.03,0.677,0.294
0.9893,0.059,0.643,0.297
0.9856,0.018,0.739,0.243
0.9859,0.0,0.707,0.293
0.9961,0.059,0.475,0.466
0.9704,0.101,0.714,0.185
0.9968,0.073,0.593,0.334
0.9936,0.131,0.576,0.293
0.9933,0.053,0.673,0.274
0.9961,0.0,0.607,0.393
0.9905,0.028,0.668,0.304
0.9945,0.01,0.726,0.264
0.9943,0.009,0.777,0.213
0.9829,0.019,0.664,0.317
0.9854,0.058,0.63,0.313
0.9929,0.072,0.607,0.321
0.9897,0.037,0.705,0.259
0.9853,0.088,0.639,0.273
0.9984,0.012,0.577,0.412
0.9485,0.064,0.769,0.167
0.9978,0.06,0.595,0.345
0.982,0.019,0.743,0.239
0.9496,0.042,0.773,0.184
0.9822,0.022,0.735,0.243
0.9891,0.015,0.709,0.277
0.7875,0.067,0.811,0.122
0.9854,0.06,0.621,0.319
0.9958,0.051,0.66,0.288
0.9887,0.035,0.709,0.256
0.9933,0.064,0.674,0.261
0.9893,0.025,0.715,0.26
0.9902,0.0,0.753,0.247
0.9879,0.044,0.697,0.259
0.9771,0.017,0.724,0.259
0.997,0.011,0.59,0.399
0.9957,0.021,0.539,0.441
0.9983,0.025,0.592,0.383
0.9881,0.051,0.621,0.328
0.9963,0.025,0.5,0.475
0.9844,0.033,0.693,0.274
0.9917,0.079,0.601,0.319
0.9803,0.046,0.692,0.261
0.9756,0.044,0.784,0.172
0.9914,0.022,0.677,0.301
0.9907,0.026,0.689,0.285
0.9835,0.068,0.707,0.225
0.9947,0.026,0.563,0.411
0.9895,0.12,0.546,0.334
0.9952,0.066,0.602,0.332
0.9979,0.036,0.64,0.324
0.9891,0.01,0.689,0.301
0.9937,0.067,0.555,0.378
0.8747,0.069,0.781,0.149
0.9984,0.06,0.538,0.402
0.7721,0.101,0.75,0.149
0.9872,0.031,0.648,0.322
0.9911,0.017,0.631,0.353
0.9578,0.05,0.735,0.216
0.9814,0.087,0.588,0.325
0.9914,0.041,0.579,0.38
0.9976,0.035,0.632,0.334
0.9965,0.033,0.64,0.327
0.9908,0.06,0.692,0.248
0.99,0.013,0.715,0.272
0.9639,0.05,0.78,0.17
0.9719,0.124,0.598,0.278
0.9898,0.082,0.546,0.371
0.9542,0.099,0.673,0.228
0.99,0.031,0.704,0.265
0.9942,0.054,0.655,0.291
0.9953,0.027,0.675,0.298
0.9964,0.025,0.703,0.272
0.9806,0.057,0.68,0.263
0.9925,0.08,0.564,0.356
0.9715,0.066,0.675,0.26
0.9879,0.041,0.681,0.278
0.9886,0.0,0.661,0.339
0.9882,0.027,0.784,0.19
0.9879,0.035,0.699,0.266
0.9968,0.0,0.487,0.513
0.9971,0.043,0.623,0.334
0.8402,0.074,0.758,0.168
0.9206,0.07,0.742,0.188
0.7679,0.113,0.763,0.125
0.9719,0.04,0.718,0.242
0.9786,0.029,0.739,0.232
0.9816,0.101,0.567,0.332
0.9889,0.031,0.725,0.244
0.9845,0.0,0.705,0.295
0.9732,0.028,0.769,0.203
0.9954,0.0,0.699,0.301
0.9953,0.014,0.738,0.248
0.9458,0.066,0.71,0.225
0.9939,0.046,0.64,0.315
0.908,0.083,0.751,0.165
0.9972,0.027,0.501,0.472
0.9929,0.059,0.566,0.375
0.9924,0.052,0.746,0.203
0.9826,0.059,0.627,0.314
0.9828,0.076,0.71,0.214
0.9932,0.06,0.713,0.227
0.9864,0.1,0.673,0.226
0.9976,0.0,0.652,0.348
0.9772,0.089,0.73,0.181
0.9522,0.0,0.833,0.167
0.9975,0.056,0.563,0.381
0.9692,0.045,0.753,0.202
0.7938,0.058,0.825,0.117
0.9798,0.073,0.734,0.192
0.9952,0.051,0.626,0.323
0.9949,0.029,0.731,0.24
0.9429,0.07,0.753,0.177
0.989,0.032,0.711,0.257
0.9941,0.094,0.585,0.32
0.9822,0.136,0.503,0.361
0.9501,0.086,0.71,0.204
0.9246,0.06,0.778,0.162
0.999,0.018,0.573,0.41
0.9919,0.019,0.774,0.207
0.9946,0.024,0.666,0.31
0.9956,0.039,0.619,0.342
0.9927,0.093,0.598,0.309
0.9942,0.043,0.687,0.27
0.9926,0.066,0.603,0.331
0.9971,0.012,0.638,0.35
0.9927,0.043,0.717,0.24
0.9892,0.111,0.638,0.252
0.5994,0.043,0.869,0.088
0.9867,0.139,0.612,0.249
0.9973,0.051,0.572,0.378
0.9911,0.052,0.703,0.245
0.9957,0.066,0.531,0.403
0.9889,0.039,0.674,0.287
0.9911,0.015,0.773,0.212
0.9963,0.067,0.622,0.311
0.996,0.017,0.596,0.387
0.9939,0.069,0.675,0.256
0.9927,0.0,0.678,0.322
0.9916,0.026,0.676,0.298
0.9138,0.173,0.61,0.217
0.9872,0.089,0.675,0.236
0.9897,0.0,0.762,0.238
0.9875,0.087,0.64,0.273
0.9922,0.0,0.649,0.351
0.9889,0.036,0.72,0.244
0.9628,0.025,0.825,0.15
0.9909,0.05,0.645,0.304
0.9947,0.0,0.678,0.322
0.9894,0.074,0.658,0.268
0.9438,0.12,0.687,0.193
0.9965,0.047,0.678,0.275
0.9423,0.067,0.748,0.184
0.9931,0.0,0.738,0.262
0.9274,0.1,0.746,0.154
0.9957,0.03,0.59,0.38
0.9781,0.016,0.751,0.233
0.8555,0.076,0.778,0.146
0.9909,0.092,0.631,0.276
0.9965,0.024,0.639,0.336
0.9925,0.0,0.649,0.351
0.9571,0.0,0.811,0.189
0.9769,0.028,0.747,0.225
0.964,0.015,0.846,0.139
0.8934,0.083,0.735,0.182
0.972,0.107,0.654,0.239
0.0783,0.133,0.737,0.13
0.6088,0.117,0.741,0.142
0.992,0.069,0.68,0.251
0.9953,0.052,0.663,0.285
0.9878,0.057,0.728,0.215
0.9913,0.0,0.673,0.327
0.9944,0.093,0.554,0.353
0.9952,0.049,0.657,0.294
0.9862,0.0,0.824,0.176
0.9893,0.062,0.709,0.229
0.9864,0.008,0.775,0.218
0.9942,0.025,0.529,0.445
0.9448,0.069,0.764,0.167
0.9929,0.083,0.571,0.346
0.9846,0.101,0.569,0.329
0.9594,0.04,0.746,0.214
0.9743,0.059,0.741,0.2
0.9962,0.017,0.588,0.395
0.9923,0.034,0.714,0.252
0.9686,0.065,0.681,0.254
0.991,0.021,0.725,0.254
0.9979,0.044,0.461,0.496
0.9975,0.033,0.557,0.411
0.9881,0.035,0.716,0.248
0.9836,0.108,0.676,0.216
0.969,0.055,0.752,0.194
0.9886,0.049,0.692,0.26
0.9545,0.11,0.706,0.184
0.9957,0.0,0.613,0.387
0.9842,0.0,0.66,0.34
0.8555,0.043,0.852,0.105
0.994,0.024,0.68,0.296
0.9948,0.037,0.632,0.331
0.9552,0.0,0.808,0.192
0.9835,0.096,0.597,0.307
0.9946,0.034,0.674,0.293
0.9847,0.016,0.75,0.234
0.9939,0.026,0.734,0.24
0.9955,0.0,0.558,0.442
0.9979,0.024,0.536,0.44
0.9873,0.008,0.743,0.25
0.9485,0.056,0.733,0.211
0.9952,0.018,0.568,0.414
0.9622,0.036,0.765,0.198
0.9855,0.057,0.661,0.283
0.9983,0.0,0.571,0.429
0.9933,0.023,0.661,0.316
0.9911,0.022,0.718,0.26
0.9886,0.048,0.743,0.209
0.9961,0.025,0.611,0.364
0.9917,0.011,0.724,0.265
0.9825,0.022,0.714,0.263
0.9942,0.027,0.682,0.291
-0.2263,0.128,0.78,0.092
0.9953,0.0,0.64,0.36
0.9941,0.082,0.506,0.412
0.9944,0.076,0.627,0.296
0.9892,0.0,0.774,0.226
0.9557,0.075,0.751,0.175
0.9349,0.078,0.744,0.177
0.9231,0.061,0.747,0.192
0.9764,0.021,0.738,0.241
0.9909,0.039,0.646,0.315
0.9538,0.099,0.681,0.22
0.9673,0.113,0.683,0.204
0.9668,0.115,0.686,0.199
0.9753,0.058,0.704,0.238
0.9928,0.0,0.716,0.284
0.9897,0.0,0.757,0.243
0.9963,0.0,0.656,0.344
0.9324,0.08,0.722,0.198
0.9842,0.011,0.728,0.262
0.9819,0.078,0.648,0.273
0.9879,0.0,0.747,0.253
0.9933,0.051,0.558,0.391
0.9931,0.063,0.571,0.366
0.998,0.032,0.651,0.317
0.9851,0.018,0.67,0.312
0.9953,0.0,0.577,0.423
0.9928,0.026,0.588,0.385
0.994,0.049,0.575,0.375
0.9892,0.0,0.716,0.284
0.9798,0.128,0.622,0.25
0.9867,0.0,0.784,0.216
0.9468,0.121,0.691,0.188
0.993,0.014,0.613,0.374
0.9726,0.033,0.759,0.208
0.9959,0.01,0.711,0.28
0.9967,0.024,0.607,0.369
0.9979,0.03,0.634,0.336
0.946,0.028,0.779,0.193
0.9803,0.0,0.728,0.272
0.9961,0.033,0.672,0.296
0.9834,0.06,0.657,0.283
0.9969,0.0,0.697,0.303
0.994,0.031,0.719,0.25
0.9927,0.084,0.533,0.383
0.9948,0.05,0.645,0.305
0.9694,0.065,0.697,0.238
0.9934,0.029,0.583,0.388
0.9862,0.0,0.772,0.228
0.9931,0.041,0.689,0.27
0.9924,0.027,0.672,0.302
0.9785,0.0,0.737,0.263
0.989,0.072,0.621,0.308
0.9922,0.071,0.597,0.332
0.9946,0.039,0.654,0.307
0.9617,0.019,0.767,0.214
0.9881,0.019,0.642,0.339
0.9951,0.079,0.499,0.422
0.8481,0.015,0.883,0.102
0.987,0.012,0.657,0.33
0.997,0.049,0.545,0.405
0.9944,0.051,0.557,0.392
0.9674,0.055,0.768,0.177
0.9867,0.026,0.662,0.311
0.9975,0.028,0.663,0.309
0.9957,0.034,0.613,0.354
0.9951,0.028,0.679,0.293
0.9968,0.046,0.521,0.433
0.9959,0.029,0.658,0.314
0.9638,0.032,0.796,0.172
0.9975,0.022,0.63,0.349
0.9872,0.021,0.605,0.373
0.987,0.064,0.67,0.266
0.9876,0.048,0.7,0.251
0.9959,0.027,0.657,0.315
0.9834,0.029,0.785,0.186
0.9858,0.01,0.713,0.278
0.9971,0.033,0.58,0.388
0.995,0.037,0.692,0.272
0.9851,0.029,0.658,0.313
0.9928,0.027,0.638,0.335
0.9577,0.084,0.751,0.165
0.999,0.03,0.576,0.393
0.9919,0.0,0.778,0.222
0.9853,0.083,0.611,0.306
0.9882,0.037,0.708,0.255
0.9871,0.044,0.713,0.244
0.9925,0.024,0.745,0.23
0.9719,0.011,0.818,0.172
0.9976,0.05,0.633,0.317
0.9898,0.041,0.66,0.299
0.9779,0.023,0.787,0.191
0.9829,0.046,0.729,0.225
0.9967,0.02,0.669,0.31
0.9546,0.1,0.646,0.254
0.9966,0.051,0.627,0.323
0.9825,0.094,0.679,0.227
0.9974,0.047,0.612,0.341
0.9948,0.072,0.662,0.266
0.9831,0.05,0.602,0.349
0.9956,0.044,0.611,0.345
0.9976,0.034,0.578,0.388
0.9036,0.061,0.746,0.193
0.9953,0.026,0.642,0.332
0.9822,0.043,0.687,0.27
0.9897,0.054,0.623,0.323
0.9934,0.04,0.682,0.278
0.9909,0.056,0.672,0.272
0.9753,0.061,0.664,0.275
0.9793,0.03,0.769,0.201
0.9829,0.009,0.754,0.237
0.9968,0.031,0.571,0.398
0.9979,0.009,0.595,0.396
0.9451,0.0,0.811,0.189
0.9186,0.099,0.717,0.184
0.9758,0.094,0.644,0.262
0.9932,0.07,0.651,0.279
0.9693,0.103,0.649,0.248
0.9769,0.04,0.719,0.241
0.9956,0.018,0.687,0.296
0.9954,0.038,0.55,0.411
0.3641,0.074,0.847,0.079
0.9953,0.035,0.602,0.363
0.9867,0.088,0.657,0.255
0.9921,0.036,0.74,0.224
0.9763,0.023,0.805,0.171
0.9981,0.01,0.63,0.36
0.9633,0.011,0.858,0.13
0.9969,0.026,0.69,0.284
0.9656,0.191,0.501,0.308
0.9916,0.014,0.738,0.248
0.9949,0.041,0.698,0.261
0.9984,0.022,0.586,0.392
0.9509,0.154,0.588,0.258
0.981,0.056,0.726,0.218
0.9892,0.062,0.713,0.225
0.9879,0.0,0.618,0.382
0.9771,0.076,0.703,0.221
0.9951,0.036,0.609,0.354
0.9753,0.0,0.799,0.201
0.9949,0.047,0.672,0.281
0.9805,0.032,0.694,0.274
0.9965,0.018,0.721,0.261
0.8481,0.105,0.726,0.168
0.9843,0.0,0.711,0.289
0.9866,0.022,0.725,0.252
0.9081,0.064,0.804,0.132
0.9755,0.039,0.708,0.253
0.9862,0.057,0.608,0.335
0.9913,0.028,0.757,0.216
0.9972,0.017,0.696,0.287
0.9938,0.0,0.753,0.247
0.9702,0.053,0.743,0.204
0.9871,0.033,0.726,0.241
0.9952,0.0,0.72,0.28
0.9968,0.015,0.696,0.289
0.9943,0.0,0.571,0.429
0.8692,0.079,0.791,0.131
0.9712,0.093,0.68,0.227
0.9961,0.029,0.703,0.268
0.9931,0.01,0.743,0.247
0.9828,0.091,0.624,0.285
0.9813,0.013,0.726,0.261
0.985,0.105,0.64,0.255
0.9747,0.0,0.786,0.214
0.9896,0.023,0.648,0.329
0.9956,0.0,0.706,0.294
0.994,0.089,0.62,0.291
0.9939,0.0,0.747,0.253
0.9956,0.055,0.683,0.263
0.9963,0.043,0.576,0.382
